_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,crowd_ans,gt,gt_conf,in_out_radio_gold,pic_url,question_n,v1,v10,v2,v3,v4,v5,v6,v7,v8,v9
2169189340,2/22/2019 16:09:59,false,4550370613,,2/22/2019 16:05:16,false,clixsense,1.0,43726491,UKR,09,Khmelnitskiy,94.230.197.94,Monaco,Indonesia,Monaco,,https://i.imgur.com/7Ajcuai.jpg,6,Swaziland,Netherlands antilles,Bolivia,Indonesia,South africa,Honduras,Turkey,Virgin islands (british),Venezuela,Monaco
2169189340,2/22/2019 16:10:58,false,4550375513,,2/22/2019 16:07:19,false,elite,1.0,44362881,VEN,25,Caracas,186.167.244.195,Monaco,Indonesia,Monaco,,https://i.imgur.com/7Ajcuai.jpg,6,Swaziland,Netherlands antilles,Bolivia,Indonesia,South africa,Honduras,Turkey,Virgin islands (british),Venezuela,Monaco
2169189340,2/22/2019 16:31:09,false,4550451211,,2/22/2019 16:26:08,false,clixsense,1.0,44916295,RUS,"","",90.154.4.56,Indonesia,Indonesia,Monaco,,https://i.imgur.com/7Ajcuai.jpg,6,Swaziland,Netherlands antilles,Bolivia,Indonesia,South africa,Honduras,Turkey,Virgin islands (british),Venezuela,Monaco
2169189340,2/22/2019 17:40:31,false,4550778827,,2/22/2019 17:36:19,false,elite,1.0,34320317,SRB,00,Leskovac,178.149.147.43,Indonesia,Indonesia,Monaco,,https://i.imgur.com/7Ajcuai.jpg,6,Swaziland,Netherlands antilles,Bolivia,Indonesia,South africa,Honduras,Turkey,Virgin islands (british),Venezuela,Monaco
2169189340,2/22/2019 18:59:17,false,4551210722,,2/22/2019 18:43:28,false,clixsense,1,38880452,MKD,41,Skopje,89.205.4.149,Indonesia,Indonesia,Monaco,,https://i.imgur.com/7Ajcuai.jpg,6,Swaziland,Netherlands antilles,Bolivia,Indonesia,South africa,Honduras,Turkey,Virgin islands (british),Venezuela,Monaco
2169189341,2/22/2019 15:37:51,false,4550212260,,2/22/2019 15:35:24,false,neodev,1.0,29042907,ROU,14,Constanta,5.14.156.17,Ireland,Ireland,Ivory coast,,https://i.imgur.com/jk9WUp0.jpg,7,Ivory coast,Morocco,Uganda,Zaire,American samoa,Honduras,Belarus,Kuwait,Luxembourg,Ireland
2169189341,2/22/2019 16:03:12,false,4550341296,,2/22/2019 15:35:20,false,elite,1.0,45073607,VEN,"","",190.199.141.75,Ivory coast,Ireland,Ivory coast,,https://i.imgur.com/jk9WUp0.jpg,7,Ivory coast,Morocco,Uganda,Zaire,American samoa,Honduras,Belarus,Kuwait,Luxembourg,Ireland
2169189341,2/22/2019 16:07:27,false,4550359648,,2/22/2019 16:05:16,false,elite,1.0,44705449,EGY,11,Cairo,41.237.0.217,Ivory coast,Ireland,Ivory coast,,https://i.imgur.com/jk9WUp0.jpg,7,Ivory coast,Morocco,Uganda,Zaire,American samoa,Honduras,Belarus,Kuwait,Luxembourg,Ireland
2169189341,2/22/2019 16:07:28,false,4550359771,,2/22/2019 16:05:16,false,elite,1.0,39632157,VEN,25,Caracas,200.93.125.63,Ireland,Ireland,Ivory coast,,https://i.imgur.com/jk9WUp0.jpg,7,Ivory coast,Morocco,Uganda,Zaire,American samoa,Honduras,Belarus,Kuwait,Luxembourg,Ireland
2169189341,2/22/2019 16:08:29,false,4550363859,,2/22/2019 16:07:13,false,elite,1.0,44348290,SRB,"","",178.220.177.154,Ireland,Ireland,Ivory coast,,https://i.imgur.com/jk9WUp0.jpg,7,Ivory coast,Morocco,Uganda,Zaire,American samoa,Honduras,Belarus,Kuwait,Luxembourg,Ireland
