question_ID,worker_ID,answer
0,15,Skate Kitchen
0,34,Skate Kitchen
0,59,Skate Kitchen
0,70,Skate Kitchen
0,105,Skate Kitchen
0,57,Skate Kitchen
0,21,Skate Kitchen
1,2,Beautiful Boy
1,15,Beautiful Boy
1,8,Beautiful Boy
1,27,Beautiful Boy
1,25,Beautiful Boy
2,61,Puppet Master: The Littlest Reich
2,8,Puppet Master: The Littlest Reich
2,2,Puppet Master: The Littlest Reich
2,34,Puppet Master: The Littlest Reich
2,105,Puppet Master: The Littlest Reich
3,22,Smallfoot
3,34,Smallfoot
3,77,Smallfoot
3,2,Smallfoot
3,59,Smallfoot
4,89,Upgrade
4,87,Upgrade
4,47,Upgrade
4,46,Upgrade
4,3,Upgrade
5,15,Sink or Swim
5,28,Sink or Swim
5,70,Sink or Swim
5,93,Sink or Swim
5,5,Sink or Swim
6,47,"Love, Simon"
6,44,"Love, Simon"
6,5,"Love, Simon"
6,40,"Love, Simon"
6,88,"Love, Simon"
7,25,Crowhurst
7,27,Crowhurst
7,40,Crowhurst
7,89,The Mercy
7,5,Crowhurst
8,25,Rough Night
8,102,Rough Night
8,47,Rough Night
8,52,Rough Night
8,15,Rough Night
9,47,Darkest Hour
9,63,Darkest Hour
9,39,Darkest Hour
9,80,Darkest Hour
9,15,Darkest Hour
10,100,Churchill
10,17,Churchill
10,5,Churchill
10,52,Churchill
10,80,Churchill
11,99,Anthropoid
11,52,Anthropoid
11,47,Anthropoid
11,2,Anthropoid
11,85,Anthropoid
12,44,The Jungle Book
12,15,The Jungle Book
13,34,Batman v Superman: Dawn of Justice
13,47,Batman v Superman: Dawn of Justice
13,61,Batman v Superman: Dawn of Justice
13,39,Batman v Superman: Dawn of Justice
13,85,Batman v Superman: Dawn of Justice
14,73,Zootopia
14,70,Zootopia
14,25,Zootopia
14,34,Zootopia
14,39,Zootopia
14,38,Sing
15,15,Captain Fantastic
15,70,Captain Fantastic
15,85,Captain Fantastic
15,2,Captain Fantastic
15,101,Captain Fantastic
16,101,Christine
16,39,Christine
16,15,Christine
16,56,Christine
16,55,Christine
16,86,Christine
16,10,Christine
17,44,Other People
17,15,Other People
17,83,Other People
17,70,Other People
17,40,Other People
18,46,Coming Through the Rye
18,83,Coming Through the Rye
18,55,Coming Through the Rye
18,70,Coming Through the Rye
19,56,Freaks of Nature
19,25,Freaks of Nature
19,55,Freaks of Nature
19,89,Freaks of Nature
19,44,Freaks of Nature
20,44,Spectre
20,61,Spectre
20,4,Spectre
20,85,Spectre
20,88,Spectre
21,63,The Martian
21,59,The Martian
21,2,The Martian
21,88,The Martian
21,44,The Martian
21,100,The Martian
22,81,Marguerite
22,93,Marguerite
22,7,Marguerite
22,63,Marguerite
22,44,Marguerite
23,7,The Beauty Inside
23,69,The Beauty Inside
23,4,The Beauty Inside
23,85,The Beauty Inside
23,16,The Beauty Inside
24,79,Moonwalkers
24,96,Moonwalkers
24,21,Moonwalkers
24,23,Moonwalkers
24,106,Moonwalkers
24,16,Moonwalkers
25,107,Labyrinth of Lies
25,55,Labyrinth of Lies
25,34,Labyrinth of Lies
25,85,Labyrinth of Lies
25,3,Labyrinth of Lies
25,16,Labyrinth of Lies
25,31,Labyrinth of Lies
26,22,Unfriended
26,88,Unfriended
26,89,Friend Request
26,107,Unfriended
27,59,This Is Where I Leave You
27,16,This Is Where I Leave You
27,22,This Is Where I Leave You
27,69,This Is Where I Leave You
28,78,Life After Beth
28,29,Life After Beth
28,17,Life After Beth
28,81,Life After Beth
28,20,Life After Beth
29,107,The Equalizer
29,62,The Equalizer
29,78,The Equalizer
29,55,The Equalizer
29,89,Chinatown
30,17,Hercules
30,106,Hercules
30,7,Hercules
30,78,Hercules
30,61,Hercules
31,69,The Machine
31,88,The Machine
31,62,The Machine
31,20,The Machine
32,69,The Double
32,34,The Double
32,78,The Double
32,53,The Double
32,87,The Double
33,73,This Is the End
33,89,This Is the End
33,78,This Is the End
33,34,This Is the End
33,106,This Is the End
34,87,Oblivion
34,78,Oblivion
34,81,Oblivion
34,34,Oblivion
34,69,Oblivion
35,73,Olympus Has Fallen
35,56,White House Down
35,108,Olympus Has Fallen
35,49,Olympus Has Fallen
36,108,The Other Son
36,55,The Other Son
36,91,The Other Son
36,97,The Other Son
36,6,The Other Son
37,108,Upside Down
37,29,Upside Down
37,81,Upside Down
37,69,Upside Down
37,63,Upside Down
37,34,Upside Down
38,13,"Tomorrow, when the War Began"
38,58,"Tomorrow, when the War Began"
38,107,"Tomorrow, when the War Began"
38,97,"Tomorrow, when the War Began"
