question_ID,worker_ID,answer
0,54,Skate Kitchen
0,33,Skate Kitchen
0,38,Skate Kitchen
0,8,Skate Kitchen
0,81,Se mi lasci ti cancello
1,5,Beautiful Boy
1,26,Beautiful Boy
1,78,Beautiful Boy
1,104,Beautiful Boy
1,66,Beautiful Boy
2,46,Puppet Master: The Littlest Reich
2,26,Puppet Master: The Littlest Reich
2,54,Puppet Master: The Littlest Reich
2,101,Puppet Master: The Littlest Reich
2,38,Puppet Master: The Littlest Reich
2,30,Puppet Master: The Littlest Reich
3,38,Smallfoot
3,54,Smallfoot
3,24,Smallfoot
3,46,Smallfoot
3,104,Smallfoot
3,46,Smallfoot
4,21,Upgrade
4,83,Upgrade
4,84,Upgrade
4,89,Upgrade
4,3,Upgrade
5,101,Sink or Swim
5,3,Sink or Swim
5,24,Sink or Swim
5,39,Sink or Swim
5,43,Sink or Swim
6,89,"Love, Simon"
6,3,"Love, Simon"
6,43,"Love, Simon"
6,24,"Love, Simon"
6,38,"Love, Simon"
7,24,Crowhurst
7,16,Crowhurst
7,83,Crowhurst
7,45,Crowhurst
8,46,Rough Night
8,83,Rough Night
8,66,Rough Night
8,85,Rough Night
8,102,Rough Night
9,59,Darkest Hour
9,43,Darkest Hour
9,38,Darkest Hour
9,16,Darkest Hour
9,5,Darkest Hour
10,2,Churchill
10,96,Churchill
10,43,Churchill
10,83,Churchill
10,97,Churchill
11,95,Anthropoid
11,81,Anthropoid
11,2,Anthropoid
11,83,Anthropoid
11,43,Anthropoid
12,33,The Jungle Book
12,97,The Jungle Book
12,53,The Jungle Book
13,46,Batman v Superman: Dawn of Justice
13,79,Batman v Superman: Dawn of Justice
13,96,Batman v Superman: Dawn of Justice
13,8,Batman v Superman: Dawn of Justice
13,66,Batman v Superman: Dawn of Justice
14,53,Zootopia
14,69,Zootopia
14,43,Zootopia
14,49,Zootopia
14,79,Zootopia
15,38,Captain Fantastic
15,79,Captain Fantastic
15,5,Captain Fantastic
15,69,Captain Fantastic
15,53,Captain Fantastic
16,53,Christine
16,14,Christine
16,24,Christine
16,89,Christine
16,97,Christine
16,104,Christine
17,69,Other People
17,5,Other People
17,26,Other People
17,38,Other People
17,97,Other People
18,45,Coming Through the Rye
18,69,Coming Through the Rye
18,38,Coming Through the Rye
18,97,Coming Through the Rye
18,43,Coming Through the Rye
18,27,Coming Through the Rye
19,43,Freaks of Nature
19,16,Freaks of Nature
19,39,Scouts Guide to the Zombie Apocalypse
19,84,Freaks of Nature
19,66,Freaks of Nature
20,49,Spectre
20,76,Spectre
20,56,Spectre
20,17,Spectre
20,83,Spectre
21,4,The Martian
21,17,The Martian
21,76,The Martian
21,98,The Martian
21,2,The Martian
22,17,Marguerite
22,57,Marguerite
22,59,Marguerite
22,3,Marguerite
22,22,Marguerite
23,76,The Beauty Inside
23,98,The Beauty Inside
23,56,The Beauty Inside
23,22,The Beauty Inside
23,4,The Beauty Inside
24,83,Moonwalkers
24,102,Moonwalkers
24,79,Moonwalkers
24,98,Moonwalkers
24,65,Moonwalkers
24,17,Moonwalkers
25,3,Labyrinth of Lies
25,79,Labyrinth of Lies
25,69,Labyrinth of Lies
25,75,Labyrinth of Lies
25,92,Labyrinth of Lies
26,52,Unfriended
26,23,Unfriended
26,83,Unfriended
26,79,Unfriended
26,22,Unfriended
27,52,This Is Where I Leave You
27,104,This Is Where I Leave You
27,21,This Is Where I Leave You
27,22,This Is Where I Leave You
27,98,This Is Where I Leave You
28,57,Life After Beth
28,18,Life After Beth
28,84,Life After Beth
28,76,Life After Beth
28,65,Life After Beth
29,20,The Equalizer
29,76,The Equalizer
29,35,The Equalizer
29,22,The Equalizer
29,102,The Equalizer
29,4,John Wick
30,22,Hercules
30,76,Hercules
30,74,Hercules
30,35,Hercules
30,40,Hercules
30,96,Hercules
31,28,The Machine
31,58,The Machine
31,74,The Machine
31,98,The Machine
31,33,The Machine
32,50,The Double
32,20,The Double
32,33,The Double
32,49,The Double
32,59,The Double
33,20,This Is the End
33,56,This Is the End
33,50,The World's End
33,49,This Is the End
33,33,This Is the End
34,65,Oblivion
34,87,Oblivion
34,69,Oblivion
34,20,Oblivion
34,6,Oblivion
35,65,Olympus Has Fallen
35,37,Olympus Has Fallen
35,104,Olympus Has Fallen
35,50,White House Down
35,69,Olympus Has Fallen
36,101,The Other Son
36,28,The Other Son
36,65,The Other Son
36,59,The Other Son
36,87,The Other Son
37,93,Upside Down
37,31,Upside Down
37,87,Upside Down
37,4,Upside Down
37,102,Upside Down
38,53,"Tomorrow, when the War Began"
38,105,"Tomorrow, when the War Began"
38,101,"Tomorrow, when the War Began"
38,74,"Tomorrow, when the War Began"
38,55,"Tomorrow, when the War Began"
39,35,Battleship
39,59,Battleship
39,76,Battleship
39,87,Battleship
39,4,Battleship
40,87,Zero Dark Thirty
40,74,Zero Dark Thirty
40,35,Zero Dark Thirty
40,40,Zero Dark Thirty
40,104,Zero Dark Thirty
41,26,Mirror Mirror
41,40,Mirror Mirror
41,58,Mirror Mirror
42,60,The Girl
42,87,The Girl
42,35,The Girl
42,52,The Girl
42,47,The Girl
43,78,Quartet
43,58,Quartet
43,74,Quartet
43,20,Quartet
43,97,Quartet
44,78,Extraterrestrial
44,75,Extraterrestrial
44,70,Extraterrestrial
44,60,Extraterrestrial
44,87,Extraterrestrial
45,100,The Raid
45,74,The Raid
45,56,The Raid
45,60,The Raid
45,98,The Raid
46,31,No Strings Attached
