votes_per_item;method;accuracy_conf;accuracy_conf_std;accuracy_prob_conf;accuracy_prob_conf_std;precision_conf;precision_std;recall_conf;recall_conf_std;accuracy;accuracy_std;accuracy_prob;accuracy_prob_std;votes_per_worker_mean;votes_per_worker_std
9;truth_finder;;;;;;;;;0.7375350017;0.08042111503;0.7373983626;0.0804912363;2.368421053;1.494217849
9;avlog;;;;;;;;;0.7208966288;0.07937624055;;;2.368421053;1.494217849
9;mcmc;;;;;;;;;0.7461576367;0.07116167534;0.7436160991;0.05793575734;2.368421053;1.494217849
9;mv_f;;;;;;;;;0.8151386309;0.07835134039;0.7245422212;0.05755883306;2.368421053;1.494217849
9;mcmc_conf;0.8644112236;0.06567669638;0.8187774133;0.05396758216;0.8460111978;0.1367459374;0.6260680851;0.1573604662;0.8085271113;0.07850986198;0.811002064;0.0804312204;2.368421053;1.494217849
9;truth_finder_f;;;;;;;;;0.8055108359;0.07066443607;0.8056719719;0.07072361788;2.368421053;1.494217849
9;inv;;;;;;;;;0.7475683695;0.05876050269;;;2.368421053;1.494217849
9;D&S_f;;;;;;;;;0.5971965944;0.08053382199;0.5664914095;0.06953990295;2.368421053;1.494217849
9;sums;;;;;;;;;0.7108093395;0.083172261;;;2.368421053;1.494217849
9;D&S;;;;;;;;;0.5372062264;0.063268108;0.4963520357;0.04942956551;2.368421053;1.494217849
9;inv_f;;;;;;;;;0.7989391985;0.06657869582;;;2.368421053;1.494217849
9;avlog_f;;;;;;;;;0.8069738562;0.07755152597;;;2.368421053;1.494217849
9;mv;;;;;;;;;0.7388500172;0.07444569397;0.6146104136;0.03587998895;2.368421053;1.494217849
9;sums_f;;;;;;;;;0.805875473;0.08184470967;;;2.368421053;1.494217849
9;pinv;;;;;;;;;0.7463323873;0.05884495065;;;2.368421053;1.494217849
9;pinv_f;;;;;;;;;0.807627795;0.06470596677;;;2.368421053;1.494217849
9;mcmc_f;;;;;;;;;0.811002064;0.0804312204;0.8085271113;0.07850986198;2.368421053;1.494217849
