votes_per_item,top-k,precision,method
5,3,0.12,mcmc_conf
5,4,0.273333333333,mcmc_conf
5,5,0.30987012987,mcmc_conf
5,6,0.356666666667,mcmc_conf
5,7,0.365011312217,mcmc_conf
5,8,0.357472089314,mcmc_conf
5,9,0.38307814992,mcmc_conf
5,10,0.435146355193,mcmc_conf
5,11,0.468979266348,mcmc_conf
5,12,0.592830940989,mcmc_conf
5,13,0.678205741627,mcmc_conf
5,14,0.678205741627,mcmc_conf
5,15,0.678205741627,mcmc_conf
5,16,0.678205741627,mcmc_conf
5,17,0.678205741627,mcmc_conf
5,18,0.678205741627,mcmc_conf
5,19,0.678205741627,mcmc_conf
5,1,0.0,D&S
5,2,0.1,D&S
5,3,0.0666666666667,D&S
5,4,0.1,D&S
5,5,0.113333333333,D&S
5,6,0.0952380952381,D&S
5,7,0.135714285714,D&S
5,8,0.219444444444,D&S
5,9,0.324444444444,D&S
5,10,0.436363636364,D&S
5,11,0.451515151515,D&S
5,12,0.672344322344,D&S
5,13,0.766593406593,D&S
5,14,0.793095238095,D&S
5,15,0.771260504202,D&S
5,16,0.739233500418,D&S
5,17,0.720851147477,D&S
5,18,0.71235441545,D&S
5,19,0.71235441545,D&S
5,1,0.0,mcmc_conf
5,2,0.0666666666667,mcmc_conf
5,3,0.116666666667,mcmc_conf
5,4,0.12,mcmc_conf
5,5,0.295634920635,mcmc_conf
5,6,0.290476190476,mcmc_conf
5,7,0.353221288515,mcmc_conf
5,8,0.411988795518,mcmc_conf
5,9,0.45137254902,mcmc_conf
5,10,0.490756302521,mcmc_conf
5,11,0.527619047619,mcmc_conf
5,12,0.580336134454,mcmc_conf
5,13,0.681680672269,mcmc_conf
5,14,0.695966386555,mcmc_conf
5,15,0.695966386555,mcmc_conf
5,16,0.695966386555,mcmc_conf
5,17,0.695966386555,mcmc_conf
5,18,0.695966386555,mcmc_conf
5,19,0.695966386555,mcmc_conf
5,1,0.0,D&S
5,2,0.0,D&S
5,3,0.133333333333,D&S
5,4,0.19,D&S
5,5,0.130476190476,D&S
5,6,0.168253968254,D&S
5,7,0.170158730159,D&S
5,8,0.236212121212,D&S
5,9,0.312043512044,D&S
5,10,0.432264402264,D&S
5,11,0.490835830836,D&S
5,12,0.659798534799,D&S
5,13,0.70582848524,D&S
5,14,0.731497862303,D&S
5,15,0.720555555556,D&S
5,16,0.714967320261,D&S
5,17,0.702222222222,D&S
5,18,0.706315789474,D&S
5,19,0.7,D&S
5,1,0.0,mcmc_conf
5,2,0.0,mcmc_conf
5,3,0.13,mcmc_conf
5,4,0.156666666667,mcmc_conf
5,5,0.262857142857,mcmc_conf
5,6,0.289393939394,mcmc_conf
5,7,0.360256410256,mcmc_conf
5,8,0.386149144973,mcmc_conf
5,9,0.365805958747,mcmc_conf
5,10,0.417575757576,mcmc_conf
5,11,0.465281385281,mcmc_conf
5,12,0.531601731602,mcmc_conf
5,13,0.597922077922,mcmc_conf
5,14,0.597922077922,mcmc_conf
5,15,0.597922077922,mcmc_conf
5,16,0.597922077922,mcmc_conf
5,17,0.597922077922,mcmc_conf
5,18,0.597922077922,mcmc_conf
5,19,0.597922077922,mcmc_conf
5,1,0.2,D&S
5,2,0.2,D&S
5,3,0.133333333333,D&S
5,4,0.24,D&S
5,5,0.193333333333,D&S
5,6,0.261904761905,D&S
5,7,0.335714285714,D&S
5,8,0.416666666667,D&S
5,9,0.448888888889,D&S
5,10,0.510909090909,D&S
5,11,0.518181818182,D&S
5,12,0.682051282051,D&S
5,13,0.808791208791,D&S
5,14,0.795238095238,D&S
5,15,0.77,D&S
5,16,0.756617647059,D&S
5,17,0.740849673203,D&S
5,18,0.724509803922,D&S
5,19,0.712404540764,D&S
5,1,0.0,mcmc_conf
5,2,0.15,mcmc_conf
5,3,0.253333333333,mcmc_conf
5,4,0.275411255411,mcmc_conf
5,5,0.281666666667,mcmc_conf
5,6,0.339307359307,mcmc_conf
5,7,0.415780885781,mcmc_conf
5,8,0.43706959707,mcmc_conf
5,9,0.419852941176,mcmc_conf
5,10,0.46926916221,mcmc_conf
5,11,0.481198945982,mcmc_conf
5,12,0.568801054018,mcmc_conf
5,13,0.649011857708,mcmc_conf
5,14,0.665678524374,mcmc_conf
5,15,0.665678524374,mcmc_conf
5,16,0.665678524374,mcmc_conf
5,17,0.665678524374,mcmc_conf
5,18,0.665678524374,mcmc_conf
5,19,0.665678524374,mcmc_conf
5,1,0.0,D&S
5,2,0.0,D&S
5,3,0.0,D&S
5,4,0.0,D&S
5,5,0.04,D&S
5,6,0.0285714285714,D&S
5,7,0.05,D&S
5,8,0.144444444444,D&S
5,9,0.275555555556,D&S
5,10,0.398181818182,D&S
5,11,0.459090909091,D&S
5,12,0.671794871795,D&S
5,13,0.753846153846,D&S
5,14,0.770476190476,D&S
5,15,0.768333333333,D&S
5,16,0.727205882353,D&S
5,17,0.692397660819,D&S
5,18,0.684210526316,D&S
5,19,0.670175438596,D&S
5,1,0.12,mcmc_conf
5,2,0.0716666666667,mcmc_conf
5,3,0.203571428571,mcmc_conf
5,4,0.276761904762,mcmc_conf
5,5,0.287258297258,mcmc_conf
5,6,0.355664835165,mcmc_conf
5,7,0.396807350458,mcmc_conf
5,8,0.445487051031,mcmc_conf
5,9,0.422597209966,mcmc_conf
5,10,0.459378200014,mcmc_conf
5,11,0.49371648587,mcmc_conf
5,12,0.588429307264,mcmc_conf
5,13,0.661455120617,mcmc_conf
5,14,0.67089317463,mcmc_conf
5,15,0.67089317463,mcmc_conf
5,16,0.67089317463,mcmc_conf
5,17,0.67089317463,mcmc_conf
5,18,0.67089317463,mcmc_conf
5,19,0.67089317463,mcmc_conf
5,1,0.02,D&S
5,2,0.095,D&S
5,3,0.099,D&S
5,4,0.166666666667,D&S
5,5,0.201428571429,D&S
5,6,0.240992063492,D&S
5,7,0.247944444444,D&S
5,8,0.316868686869,D&S
5,9,0.395454545455,D&S
5,10,0.491766899767,D&S
5,11,0.513717948718,D&S
5,12,0.659921245421,D&S
5,13,0.769339689722,D&S
5,14,0.778574929972,D&S
5,15,0.753243378053,D&S
5,16,0.727665462676,D&S
5,17,0.710378482972,D&S
5,18,0.701236872261,D&S
5,19,0.696235505207,D&S
5,1,0.04,mcmc_conf
5,2,0.0333333333333,mcmc_conf
5,3,0.1405,mcmc_conf
5,4,0.208238095238,mcmc_conf
5,5,0.288771228771,mcmc_conf
5,6,0.358582251082,mcmc_conf
5,7,0.425461278659,mcmc_conf
5,8,0.440183047207,mcmc_conf
5,9,0.424727208858,mcmc_conf
5,10,0.454601039883,mcmc_conf
5,11,0.486559088642,mcmc_conf
5,12,0.579982144008,mcmc_conf
5,13,0.63972824282,mcmc_conf
5,14,0.651949841663,mcmc_conf
5,15,0.651949841663,mcmc_conf
5,16,0.651949841663,mcmc_conf
5,17,0.651949841663,mcmc_conf
5,18,0.651949841663,mcmc_conf
5,19,0.651949841663,mcmc_conf
5,1,0.01,D&S
5,2,0.04,D&S
5,3,0.074,D&S
5,4,0.148380952381,D&S
5,5,0.155095238095,D&S
5,6,0.194444444444,D&S
5,7,0.221605339105,D&S
5,8,0.287398989899,D&S
5,9,0.389601398601,D&S
5,10,0.486344988345,D&S
5,11,0.511330669331,D&S
5,12,0.654384615385,D&S
5,13,0.759374488257,D&S
5,14,0.767262138189,D&S
5,15,0.746655486756,D&S
5,16,0.736453990368,D&S
5,17,0.711531094894,D&S
5,18,0.697588395007,D&S
5,19,0.695851552902,D&S
3,1,0.2,mcmc_conf
3,2,0.133333333333,mcmc_conf
3,3,0.158333333333,mcmc_conf
3,4,0.200196078431,mcmc_conf
3,5,0.281191749427,mcmc_conf
3,6,0.305455818691,mcmc_conf
3,7,0.311276566571,mcmc_conf
3,8,0.352367142661,mcmc_conf
3,9,0.377340404693,mcmc_conf
3,10,0.416621026033,mcmc_conf
3,11,0.468593955065,mcmc_conf
3,12,0.544419697949,mcmc_conf
3,13,0.606392626981,mcmc_conf
3,14,0.618630389219,mcmc_conf
3,15,0.618630389219,mcmc_conf
3,16,0.618630389219,mcmc_conf
3,17,0.618630389219,mcmc_conf
3,18,0.618630389219,mcmc_conf
3,19,0.618630389219,mcmc_conf
3,1,0.0,D&S
3,2,0.05,D&S
3,3,0.0333333333333,D&S
3,4,0.07,D&S
3,5,0.152857142857,D&S
3,6,0.184523809524,D&S
3,7,0.223015873016,D&S
3,8,0.306464646465,D&S
3,9,0.374685314685,D&S
3,10,0.445934065934,D&S
3,11,0.48340955613,D&S
3,12,0.602643557423,D&S
3,13,0.696878654971,D&S
3,14,0.699124527004,D&S
3,15,0.695467836257,D&S
3,16,0.693713450292,D&S
3,17,0.697134502924,D&S
3,18,0.697134502924,D&S
3,19,0.697134502924,D&S
5,1,0.06,mcmc_conf
5,2,0.0773333333333,mcmc_conf
5,3,0.185095238095,mcmc_conf
5,4,0.220721944722,mcmc_conf
5,5,0.269060565166,mcmc_conf
5,6,0.322715505191,mcmc_conf
5,7,0.376419226191,mcmc_conf
5,8,0.388733318397,mcmc_conf
5,9,0.390961534614,mcmc_conf
5,10,0.437508578408,mcmc_conf
5,11,0.476198667783,mcmc_conf
5,12,0.564426675731,mcmc_conf
5,13,0.643384524174,mcmc_conf
5,14,0.650706738192,mcmc_conf
5,15,0.650706738192,mcmc_conf
5,16,0.650706738192,mcmc_conf
5,17,0.650706738192,mcmc_conf
5,18,0.650706738192,mcmc_conf
5,19,0.650706738192,mcmc_conf
5,1,0.02,D&S
5,2,0.113333333333,D&S
5,3,0.09,D&S
5,4,0.170523809524,D&S
5,5,0.18419047619,D&S
5,6,0.220277777778,D&S
5,7,0.237777777778,D&S
5,8,0.331116161616,D&S
5,9,0.400362082362,D&S
5,10,0.480652680653,D&S
5,11,0.506637362637,D&S
5,12,0.680613553114,D&S
5,13,0.772428032752,D&S
5,14,0.780798737039,D&S
5,15,0.760786119711,D&S
5,16,0.733868273625,D&S
5,17,0.716141241026,D&S
5,18,0.708435555243,D&S
5,19,0.707666967106,D&S
5,1,0.08,mcmc_conf
5,2,0.0416666666667,mcmc_conf
5,3,0.109865079365,mcmc_conf
5,4,0.165297449283,mcmc_conf
5,5,0.224754690786,mcmc_conf
5,6,0.290640650715,mcmc_conf
5,7,0.342846819503,mcmc_conf
5,8,0.387433347698,mcmc_conf
5,9,0.402501618866,mcmc_conf
5,10,0.456072612716,mcmc_conf
5,11,0.498669885498,mcmc_conf
5,12,0.583447231389,mcmc_conf
5,13,0.655656249409,mcmc_conf
5,14,0.657719741473,mcmc_conf
