accuracy,methods,std
0.58475975976,mv_p,1.11022302463e-16
0.790575214416,em_p,4.00270311798e-06
0.794324324324,mcmc_p,0.0167240308156
0.675265985516,mv_f_p,0.0231363577328
0.805480082031,em_f_p,0.0282450853643
0.803513513514,mcmc_f_p,0.0256699851446
0.72972972973,mv_b,2.22044604925e-16
0.783783783784,em_b,0.0
0.797837837838,mcmc_b,0.0237099591346
0.788108108108,mv_f_b,0.0325941912036
0.807027027027,em_f_b,0.0296115587563
0.805405405405,mcmc_f_b,0.0286027168764
0.783783783784,sums,0.0
0.783783783784,avlog,0.0
0.825945945946,inv,0.0248648648649
0.809189189189,pinv,0.032616594252
0.80972972973,sums_f,0.0319605308089
0.804864864865,avlog_f,0.0316527912907
0.823783783784,inv_f,0.0459427661857
0.840540540541,pinv_f,0.0338647678004
