votes_per_item,top-k,precision,method
5,1,0.1,mcmc_conf
5,2,0.29,mcmc_conf
5,3,0.333333333333,mcmc_conf
5,4,0.325,mcmc_conf
5,5,0.348,mcmc_conf
5,6,0.436666666667,mcmc_conf
5,7,0.451428571429,mcmc_conf
5,8,0.46,mcmc_conf
5,9,0.5,mcmc_conf
5,10,0.516,mcmc_conf
5,11,0.527272727273,mcmc_conf
5,12,0.545,mcmc_conf
5,13,0.570769230769,mcmc_conf
5,14,0.578571428571,mcmc_conf
5,15,0.581333333333,mcmc_conf
5,16,0.5825,mcmc_conf
5,17,0.587058823529,mcmc_conf
5,18,0.594444444444,mcmc_conf
5,19,0.610526315789,mcmc_conf
5,20,0.621,mcmc_conf
5,21,0.614285714286,mcmc_conf
5,22,0.608181818182,mcmc_conf
5,23,0.600869565217,mcmc_conf
5,24,0.606666666667,mcmc_conf
5,25,0.5936,mcmc_conf
5,26,0.577692307692,mcmc_conf
5,27,0.56,mcmc_conf
5,28,0.548571428571,mcmc_conf
5,29,0.54,mcmc_conf
5,30,0.532,mcmc_conf
5,31,0.525161290323,mcmc_conf
5,32,0.514375,mcmc_conf
5,33,0.509090909091,mcmc_conf
5,34,0.5,mcmc_conf
5,35,0.490857142857,mcmc_conf
5,36,0.482777777778,mcmc_conf
5,37,0.476216216216,mcmc_conf
5,38,0.466315789474,mcmc_conf
5,1,0.02,D&S
5,2,0.01,D&S
5,3,0.02,D&S
5,4,0.015,D&S
5,5,0.02,D&S
5,6,0.0166666666667,D&S
5,7,0.0542857142857,D&S
5,8,0.06,D&S
5,9,0.0666666666667,D&S
5,10,0.066,D&S
5,11,0.0654545454545,D&S
5,12,0.0916666666667,D&S
5,13,0.103076923077,D&S
5,14,0.102857142857,D&S
5,15,0.109333333333,D&S
5,16,0.1125,D&S
5,17,0.109411764706,D&S
5,18,0.117777777778,D&S
5,19,0.121052631579,D&S
5,20,0.124,D&S
5,21,0.16,D&S
5,22,0.190909090909,D&S
5,23,0.192173913043,D&S
5,24,0.201666666667,D&S
5,25,0.2296,D&S
5,26,0.226153846154,D&S
5,27,0.254814814815,D&S
5,28,0.276428571429,D&S
5,29,0.270344827586,D&S
5,30,0.262666666667,D&S
5,31,0.256129032258,D&S
5,32,0.27625,D&S
5,33,0.268484848485,D&S
5,34,0.280588235294,D&S
5,35,0.274285714286,D&S
5,36,0.269444444444,D&S
5,37,0.270810810811,D&S
5,38,0.280526315789,D&S
7,1,0.22,mcmc_conf
7,2,0.33,mcmc_conf
7,3,0.36,mcmc_conf
7,4,0.37,mcmc_conf
7,5,0.412,mcmc_conf
7,6,0.503333333333,mcmc_conf
7,7,0.5,mcmc_conf
7,8,0.515,mcmc_conf
7,9,0.553333333333,mcmc_conf
7,10,0.588,mcmc_conf
7,11,0.634545454545,mcmc_conf
7,12,0.638333333333,mcmc_conf
7,13,0.66,mcmc_conf
7,14,0.665714285714,mcmc_conf
7,15,0.664,mcmc_conf
7,16,0.65,mcmc_conf
7,17,0.661176470588,mcmc_conf
7,18,0.665555555556,mcmc_conf
7,19,0.667368421053,mcmc_conf
7,20,0.676,mcmc_conf
7,21,0.677142857143,mcmc_conf
7,22,0.683636363636,mcmc_conf
7,23,0.694782608696,mcmc_conf
7,24,0.703333333333,mcmc_conf
7,25,0.6856,mcmc_conf
7,26,0.672307692308,mcmc_conf
7,27,0.66,mcmc_conf
7,28,0.647142857143,mcmc_conf
7,29,0.632413793103,mcmc_conf
7,30,0.623333333333,mcmc_conf
7,31,0.614838709677,mcmc_conf
7,32,0.60625,mcmc_conf
7,33,0.600606060606,mcmc_conf
7,34,0.594705882353,mcmc_conf
7,35,0.581714285714,mcmc_conf
7,36,0.573888888889,mcmc_conf
7,37,0.568648648649,mcmc_conf
7,38,0.563684210526,mcmc_conf
7,1,0.04,D&S
7,2,0.08,D&S
7,3,0.0866666666667,D&S
7,4,0.065,D&S
7,5,0.068,D&S
7,6,0.0566666666667,D&S
7,7,0.0828571428571,D&S
7,8,0.0775,D&S
7,9,0.0888888888889,D&S
7,10,0.09,D&S
7,11,0.0909090909091,D&S
