question_n,gt,gt_conf,is_conf_found,num_votes,num_conf,num_wrong
1,Germany,Belgium,0,20,0,0
2,Thailand,Costa rica,0,20,0,0
3,Switzerland,Denmark,0,20,0,0
4,Liechtenstein,Haiti,0,20,0,0
5,Italy,Hungary,1,20,2,0
6,Monaco,Indonesia,1,20,8,0
7,Ivory coast,Ireland,1,20,10,0
8,Romania,Moldova,0,20,0,0
9,Australia,New zealand,1,20,4,0
10,Iceland,Norway,0,20,0,0
11,Croatia,Paraguay,0,20,0,0
12,Mali,Senegal,1,20,2,0
13,Russia,Slovenia,0,20,0,0
14,Greece,,0,20,0,0
15,United kingdom,,0,20,0,0
16,India,,0,20,0,2
17,Canada,,0,20,0,0
18,Cuba,,0,20,0,0
19,Turkey,,0,20,0,0
20,Maldives,,0,20,0,0
21,Dominica,,0,20,0,0
22,Finland,,0,20,0,0
23,Georgia republic,,0,20,0,0
24,Catalonia,,0,20,0,0
25,Japan,,0,20,0,0
26,Jamaica,,0,20,0,0
27,Philippines,,0,20,0,0
28,France,,0,20,0,0
29,Estonia,,0,20,0,0
30,China,,0,20,0,0
