question_n,gt,gt_conf,is_conf_found,num_votes,num_conf,num_wrong
1,Costa rica,Thailand,0,10,0,0
2,Denmark,Switzerland,0,10,0,0
3,Haiti,Liechtenstein,0,10,0,1
4,Hungary,Italy,0,10,0,0
5,Indonesia,Monaco,1,10,4,1
6,Ireland,Ivory coast,0,10,0,0
7,Moldova,Romania,1,10,6,1
8,New zealand,Australia,0,10,0,0
9,Paraguay,Croatia,1,10,2,0
10,Senegal,Mali,1,10,1,1
11,Costa rica,Thailand,1,10,1,1
12,Denmark,Switzerland,1,10,1,0
13,Haiti,Liechtenstein,1,10,1,1
14,Hungary,Italy,1,10,1,0
15,Indonesia,Monaco,1,10,2,0
16,Ireland,Ivory coast,1,10,2,0
17,Moldova,Romania,1,10,2,0
18,New zealand,Australia,1,10,2,0
19,Paraguay,Croatia,0,10,0,0
20,Senegal,Mali,1,10,1,1
21,Thailand,Costa rica,1,10,4,0
22,Switzerland,Denmark,0,10,0,0
23,Liechtenstein,Haiti,1,10,1,0
24,Italy,Hungary,0,10,0,0
25,Monaco,Indonesia,1,10,3,0
26,Ivory coast,Ireland,1,10,5,0
27,Romania,Moldova,0,10,0,0
28,Australia,New zealand,1,10,4,0
29,Croatia,Paraguay,0,10,0,10
30,Mali,Senegal,1,10,2,7
31,Thailand,Costa rica,1,10,4,0
32,Switzerland,Denmark,0,10,0,0
33,Liechtenstein,Haiti,0,10,0,0
34,Italy,Hungary,0,10,0,0
35,Monaco,Indonesia,1,10,3,0
36,Ivory coast,Ireland,1,10,9,0
37,Romania,Moldova,0,10,0,0
38,Australia,New zealand,0,10,0,0
39,Croatia,Paraguay,0,10,0,0
49,Mali,Senegal,1,10,3,0
